_id,task,label,difficulty,correct_answer,target_image,presented_images[0],presented_images[1],presented_images[2],presented_images[3],group_order,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,ppt_id,correct,__v,response.age,response.gender,response.english_first,response.response,participant_response,final_response,correct_response,response.ppt_id_manual
685dd53bd28b67cd423fa2b6,comprehension,ant,0,4,images/ant.jpg,images/raspberry.jpg,images/mint.jpg,images/muffin.jpg,images/ant.jpg,CP,1376,"<h3>Which image shows: ""ant""?</h3>",3,html-button-response,2,2.1.0,15436,P1750979883535,true,0,,,,,,,,
685dd53cd28b67cd423fa2b8,comprehension,wheel,0,1,images/wheel.jpg,images/wheel.jpg,images/meat.jpg,images/bowl.jpg,images/fish.jpg,CP,834,"<h3>Which image shows: ""wheel""?</h3>",0,html-button-response,3,2.1.0,16273,P1750979883535,true,0,,,,,,,,
685dd573d28b67cd423fa2ba,,,,,,,,,,,4759,,,survey-html-form,0,2.1.0,4762,P1750979950400,,0,7,male,yes,,,,,
685dd590d28b67cd423fa2bc,,,,,,,,,,,5771,,,survey-html-form,0,2.1.0,5776,P1750979979118,,0,6,male,yes,,,,,
685dd5bdd28b67cd423fa2be,,,,,,,,,,,5875,,,survey-html-form,0,2.1.0,5881,P1750980023597,,0,5,male,yes,,,,,
685dd5ccd28b67cd423fa2c0,,,,,,,,,,,5641,,,survey-html-form,0,2.1.0,5646,P1750980039139,,0,7,male,yes,,,,,
685dd5d7d28b67cd423fa2c2,,,,,,,,,,,4992,,,survey-html-form,0,2.1.0,4996,P1750980050505,,0,5,male,yes,,,,,
685dd5dcd28b67cd423fa2c4,production,duck,0,,images/duck.jpg,,,,,PC,3727,,,survey-html-form,2,2.1.0,9655,P1750980050505,true,0,,,,duck,duck,duck,duck,
685dd5ddd28b67cd423fa2c6,production,ant,0,,images/ant.jpg,,,,,PC,1567,,,survey-html-form,3,2.1.0,11227,P1750980050505,true,0,,,,ant,ant,ant,ant,
685dd5e6d28b67cd423fa2c8,production,shower,1,,images/shower.jpg,,,,,PC,7548,,,survey-html-form,5,2.1.0,20174,P1750980050505,true,0,,,,shower,shower,shower,shower,
685dd5ecd28b67cd423fa2ca,production,squirrel,1,,images/squirrel.jpg,,,,,PC,6267,,,survey-html-form,6,2.1.0,26445,P1750980050505,true,0,,,,squirrel,squirrel,squirrel,squirrel,
685dd5eed28b67cd423fa2cc,production,sunflower,1,,images/sunflower.jpg,,,,,PC,1918,,,survey-html-form,7,2.1.0,28368,P1750980050505,true,0,,,,sunflower,sunflower,sunflower,sunflower,
685dd5f0d28b67cd423fa2ce,production,fan,1,,images/fan.jpg,,,,,PC,1549,,,survey-html-form,8,2.1.0,29921,P1750980050505,true,0,,,,fan,fan,fan,fan,
685dd5f8d28b67cd423fa2d0,production,footbath,1,,images/footbath.jpg,,,,,PC,7796,,,survey-html-form,9,2.1.0,37722,P1750980050505,true,0,,,,bowl/footbath,bowl/footbath,footbath,footbath,
685dd5f9d28b67cd423fa2d2,production,turtle,1,,images/turtle.jpg,,,,,PC,1678,,,survey-html-form,10,2.1.0,39404,P1750980050505,true,0,,,,turtle,turtle,turtle,turtle,
685dd5fbd28b67cd423fa2d4,production,cake,1,,images/cake.jpg,,,,,PC,1511,,,survey-html-form,11,2.1.0,40919,P1750980050505,true,0,,,,cake,cake,cake,cake,
685dd5fdd28b67cd423fa2d6,production,acorn,1,,images/acorn.jpg,,,,,PC,1580,,,survey-html-form,12,2.1.0,42503,P1750980050505,true,0,,,,acorn,acorn,acorn,acorn,
685dd5fed28b67cd423fa2d8,production,fox,1,,images/fox.jpg,,,,,PC,1414,,,survey-html-form,13,2.1.0,43921,P1750980050505,true,0,,,,fox,fox,fox,fox,
685dd600d28b67cd423fa2da,production,squash,1,,images/squash.jpg,,,,,PC,2209,,,survey-html-form,14,2.1.0,46134,P1750980050505,true,0,,,,squash,squash,squash,squash,
685dd603d28b67cd423fa2dc,production,ship,1,,images/ship.jpg,,,,,PC,2898,,,survey-html-form,15,2.1.0,49036,P1750980050505,true,0,,,,ship,ship,ship,ship,
685dd605d28b67cd423fa2de,production,carrot,1,,images/carrot.jpg,,,,,PC,1819,,,survey-html-form,16,2.1.0,50859,P1750980050505,true,0,,,,carrot,carrot,carrot,carrot,
685dd609d28b67cd423fa2e0,production,blender,1,,images/blender.jpg,,,,,PC,4482,,,survey-html-form,17,2.1.0,55347,P1750980050505,true,0,,,,blender,blender,blender,blender,
685dd60bd28b67cd423fa2e2,production,rice,1,,images/rice.jpg,,,,,PC,1502,,,survey-html-form,18,2.1.0,56853,P1750980050505,true,0,,,,rice,rice,rice,rice,
685dd60dd28b67cd423fa2e4,production,teabag,2,,images/teabag.jpg,,,,,PC,1996,,,survey-html-form,19,2.1.0,58853,P1750980050505,true,0,,,,teabag,teabag,teabag,teabag,
685dd60fd28b67cd423fa2e6,production,oatmeal,2,,images/oatmeal.jpg,,,,,PC,2084,,,survey-html-form,20,2.1.0,60941,P1750980050505,true,0,,,,oatmeal,oatmeal,oatmeal,oatmeal,
685dd611d28b67cd423fa2e8,production,koala,2,,images/koala.jpg,,,,,PC,1695,,,survey-html-form,21,2.1.0,62639,P1750980050505,false,0,,,,a,a,a,koala,
685dd611d28b67cd423fa2ea,production,treasure,2,,images/treasure.jpg,,,,,PC,200,,,survey-html-form,22,2.1.0,62842,P1750980050505,false,0,,,,a,a,a,treasure,
685dd611d28b67cd423fa2ec,production,ski,2,,images/ski.jpg,,,,,PC,235,,,survey-html-form,23,2.1.0,63078,P1750980050505,false,0,,,,a,a,a,ski,
685dd611d28b67cd423fa2ee,production,net,2,,images/net.jpg,,,,,PC,266,,,survey-html-form,24,2.1.0,63346,P1750980050505,false,0,,,,a,a,a,net,
685dd612d28b67cd423fa2f0,production,trumpet,2,,images/trumpet.jpg,,,,,PC,491,,,survey-html-form,25,2.1.0,63840,P1750980050505,false,0,,,,a,a,a,trumpet,
685dd612d28b67cd423fa2f2,production,waterwheel,2,,images/waterwheel.jpg,,,,,PC,615,,,survey-html-form,26,2.1.0,64458,P1750980050505,false,0,,,,a,a,a,waterwheel,
685dd618d28b67cd423fa2f4,comprehension,wheel,0,2,images/wheel.jpg,images/bowl.jpg,images/wheel.jpg,images/meat.jpg,images/fish.jpg,PC,1248,"<h3>Which image shows: ""wheel""?</h3>",1,html-button-response,63,2.1.0,69753,P1750980050505,true,0,,,,,,,,
686d5fe9d749baecad1a7907,,,,,,,,,,,38108,,,survey-html-form,1,2.1.0,41486,P1751998399439,,0,4,male,yes,,,,,test
686d603dd749baecad1a7909,comprehension,ball,0,4,images/ball.jpg,images/peach.jpg,images/snack.jpg,images/pen.jpg,images/ball.jpg,CP,36628,"<h3>Which image shows: ""ball""?</h3>",3,html-button-response,3,2.1.0,126124,P1751998399439,true,0,,,,,,,,
